Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,30,2.29,41,3.09,36,2.34,31,1.81,30,1.77,41,2.29,33,2.28,35,2.12,36,2.23,37,2.15,41,2.92,38,2.27,0.00
D,3,Gabriel,6.1,6.1,Arsenal,89,4.98,85,4.77,80,3.63,78,2.96,78,2.96,75,2.69,77,4.14,76,3.35,74,3.41,74,3.44,74,4.10,75,3.37,0.27
F,4,Havertz,8.2,8.2,Arsenal,86,5.42,85,5.46,82,4.36,80,3.77,77,3.88,77,3.62,75,4.48,74,3.88,74,4.11,73,3.61,72,4.60,73,3.71,0.03
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,37,2.05,50,2.78,50,2.28,47,1.76,49,1.85,46,1.66,45,2.39,47,2.05,46,2.05,47,2.16,46,2.49,46,2.05,0.00
M,7,Jorginho,4.9,4.9,Arsenal,38,1.52,43,1.70,33,1.22,23,0.87,21,0.80,22,0.83,21,0.87,23,0.89,24,0.95,23,0.88,22,0.91,23,0.87,0.00
D,8,Kiwior,4.8,4.8,Arsenal,12,0.58,12,0.56,10,0.42,8,0.32,8,0.28,10,0.34,9,0.43,11,0.44,10,0.42,12,0.53,12,0.57,10,0.42,0.00
M,9,Martinelli,6.9,6.9,Arsenal,69,4.83,63,4.62,54,3.27,49,2.68,46,2.61,55,2.90,44,2.91,42,2.53,42,2.62,43,2.54,41,3.00,41,2.48,0.00
M,10,Nelson,5.0,5.0,Fulham,33,1.54,33,1.30,37,1.74,36,1.76,37,1.87,38,1.73,37,2.04,37,1.57,39,1.84,0,0.00,39,1.50,41,2.32,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,75,3.54,74,2.97,71,3.20,70,3.31,69,3.31,69,3.50,69,2.97,69,3.44,67,3.26,68,2.50,69,2.88,70,2.65,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,15,0.72,18,0.93,14,0.66,9,0.43,7,0.38,12,0.54,8,0.45,8,0.42,9,0.45,8,0.43,10,0.52,10,0.48,0.00
M,13,Ødegaard,8.2,8.2,Arsenal,0,0.00,0,0.00,36,2.04,71,3.61,84,4.27,83,4.02,83,5.17,83,4.49,83,4.72,83,4.33,81,5.43,82,4.29,0.00
G,14,Ramsdale,4.4,4.4,Southampton,94,3.15,92,3.04,93,3.45,92,3.06,91,3.39,89,3.17,89,2.81,89,2.94,88,2.93,90,2.92,89,2.89,90,3.04,0.01
G,15,Raya,5.6,5.5,Arsenal,16,0.77,84,3.96,91,3.82,91,3.49,91,3.52,90,3.50,90,4.16,91,3.79,91,3.78,91,3.88,91,4.25,91,3.82,0.10
M,16,Rice,6.3,6.3,Arsenal,91,3.94,87,3.91,83,3.05,81,2.70,79,2.70,78,2.53,76,3.05,76,2.68,75,2.82,75,2.61,76,3.16,77,2.69,0.00
M,17,Saka,10.1,10.1,Arsenal,84,6.96,81,7.02,81,5.32,79,4.87,79,4.90,79,4.64,76,5.82,76,5.07,75,5.30,75,4.73,72,5.90,73,4.64,0.35
D,18,Saliba,6.0,6.0,Arsenal,91,4.63,90,4.61,88,3.57,85,2.89,83,2.88,82,2.63,81,3.94,81,3.26,81,3.39,79,3.34,81,4.07,82,3.39,0.05
M,19,Smith Rowe,5.8,5.8,Fulham,77,3.33,73,2.56,68,3.25,67,3.21,66,3.38,65,2.86,67,3.66,66,2.64,65,3.13,67,2.60,66,2.42,65,3.79,0.23
M,20,Thomas,5.0,5.0,Arsenal,64,2.48,58,2.32,45,1.61,35,1.21,30,1.08,32,1.08,32,1.26,31,1.15,31,1.17,32,1.15,31,1.29,32,1.17,0.00
D,21,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.08,1,0.07,1,0.08,2,0.11,2,0.10,2,0.12,2,0.10,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,0,0.00,8,0.36,16,0.60,21,0.82,25,0.92,25,1.29,24,1.05,24,1.13,26,1.19,23,1.24,24,1.09,0.00
M,23,Trossard,6.9,6.9,Arsenal,62,4.41,58,4.34,48,2.90,38,2.16,34,2.01,41,2.30,35,2.38,35,2.16,36,2.29,35,2.06,36,2.66,35,2.09,0.00
D,24,White,6.4,6.4,Arsenal,67,3.61,79,4.27,78,3.36,77,2.83,76,2.79,74,2.56,74,3.78,72,3.02,74,3.24,72,3.21,72,3.83,73,3.12,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,0,0.00,0,0.00,6,0.27,10,0.45,10,0.44,12,0.53,11,0.56,13,0.62,13,0.62,15,0.71,13,0.68,13,0.61,0.00
D,26,Alex Moreno,4.4,4.4,Nott'm Forest,63,2.87,58,1.73,58,2.65,59,2.46,59,2.62,56,2.13,55,1.38,54,2.78,55,1.10,54,1.62,0,0.00,58,2.13,0.00
F,27,Archer,5.0,5.0,Southampton,60,3.04,59,2.27,56,3.24,56,2.08,54,3.16,56,2.90,53,2.41,52,2.36,53,2.69,53,2.41,55,2.73,54,2.51,0.00
M,28,Bailey,6.4,6.4,Aston Villa,74,4.13,70,3.71,66,3.25,58,3.59,56,2.60,54,2.29,55,3.19,53,2.54,54,3.26,55,3.82,57,2.98,55,2.31,0.00
M,29,Barkley,5.3,5.3,Aston Villa,32,1.67,36,1.75,29,1.39,21,1.21,19,0.88,18,0.79,20,1.10,20,0.91,20,1.14,20,1.28,19,0.97,22,0.94,0.00
M,30,Barrenechea,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,31,Buendia,5.3,5.3,Aston Villa,12,0.69,14,0.79,11,0.61,7,0.52,6,0.41,8,0.44,8,0.55,8,0.48,9,0.61,9,0.67,10,0.59,10,0.51,0.00
D,32,Cash,4.4,4.4,Aston Villa,12,0.51,35,1.34,52,2.00,48,2.19,48,1.29,48,1.08,49,2.20,48,1.33,49,2.25,48,2.47,48,1.89,47,1.29,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,40,1.48,49,1.52,40,1.34,41,1.57,40,0.90,38,0.70,37,1.45,39,0.88,39,1.51,39,1.75,38,1.30,39,0.91,0.00
D,36,Digne,4.6,4.6,Aston Villa,65,3.00,62,2.46,60,2.45,58,2.85,56,1.58,52,1.30,55,2.63,54,1.63,54,2.63,54,3.00,54,2.27,53,1.56,0.01
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,38,Duran,6.2,6.2,Aston Villa,42,2.42,37,2.11,34,1.82,30,1.96,30,1.61,29,1.40,32,1.96,31,1.59,31,2.00,30,2.20,31,1.77,32,1.50,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,40,Hause,4.0,4.0,Aston Villa,3,0.10,3,0.08,1,0.04,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.05,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,42,Kamara,5.0,5.0,Aston Villa,0,0.00,0,0.00,26,0.81,55,1.73,64,1.71,64,1.63,63,1.95,63,1.68,61,1.90,62,2.04,61,1.77,61,1.61,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,44,Konsa,4.5,4.5,Aston Villa,91,3.29,89,2.69,87,2.82,86,3.27,85,1.72,86,1.41,85,3.21,84,1.78,84,3.20,82,3.62,83,2.70,84,1.86,0.65
D,45,Maatsen,4.9,4.9,Aston Villa,34,1.48,38,1.45,39,1.52,39,1.79,40,1.13,44,1.02,43,1.94,43,1.21,42,1.92,42,2.19,43,1.68,44,1.25,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,47,Martinez,5.0,5.0,Aston Villa,93,3.65,92,3.38,93,3.51,92,3.55,91,3.04,91,2.99,91,3.62,89,3.05,90,3.47,90,3.69,89,3.33,90,3.02,0.01
M,48,McGinn,5.3,5.3,Aston Villa,0,0.00,0,0.00,31,1.30,64,3.07,75,2.79,75,2.54,75,3.49,74,2.78,75,3.53,74,3.97,73,2.96,73,2.47,0.00
D,49,Mings,4.4,4.4,Aston Villa,0,0.00,0,0.00,7,0.21,16,0.58,22,0.51,21,0.43,23,0.91,24,0.59,22,0.88,22,0.97,22,0.76,20,0.51,0.00
D,50,Nedeljkovic,4.0,4.0,Aston Villa,21,0.86,13,0.48,7,0.26,8,0.32,8,0.24,9,0.24,9,0.36,9,0.27,9,0.36,11,0.47,10,0.36,10,0.30,0.02
G,51,Olsen,4.5,4.5,Aston Villa,1,0.06,2,0.09,2,0.09,3,0.12,3,0.10,4,0.13,3,0.13,5,0.17,5,0.20,5,0.19,5,0.20,5,0.15,0.00
D,52,Pau,4.5,4.5,Aston Villa,88,3.14,83,2.54,81,2.61,77,2.92,73,1.52,73,1.26,73,2.80,73,1.59,71,2.69,72,3.12,72,2.40,72,1.62,0.01
M,53,Ramsey,5.5,5.5,Aston Villa,69,3.24,68,3.04,60,2.62,53,2.79,51,2.13,52,1.99,51,2.60,52,2.18,50,2.63,51,3.04,51,2.32,51,2.00,0.00
M,54,Rogers,5.2,5.2,Aston Villa,82,4.02,78,3.61,76,3.35,74,3.98,71,2.93,69,2.61,69,3.68,69,2.88,69,3.75,67,4.12,67,3.07,68,2.55,0.78
G,55,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,56,Sousa,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,57,Tielemans,5.5,5.5,Aston Villa,85,3.46,82,3.28,78,2.95,73,3.28,70,2.51,70,2.39,70,3.10,70,2.60,69,3.11,69,3.39,70,2.77,68,2.32,0.00
F,58,Watkins,9.0,9.0,Aston Villa,84,4.80,83,4.48,80,4.08,80,5.16,78,3.77,78,3.40,76,4.73,78,3.86,77,4.96,77,5.74,77,4.10,76,3.29,0.09
D,59,Aarons,4.4,4.4,Bournemouth,10,0.40,13,0.50,16,0.47,17,0.51,18,0.45,19,0.62,18,0.63,19,0.73,20,0.62,21,0.80,22,0.85,22,0.58,0.00
M,60,Adams,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,11,0.35,28,0.86,34,1.05,33,1.03,31,0.97,32,1.03,34,1.09,33,0.95,0.00
M,61,Anthony,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,62,Brooks,4.9,4.9,Bournemouth,2,0.20,3,0.25,6,0.35,6,0.37,6,0.37,7,0.46,7,0.47,8,0.52,9,0.55,9,0.56,8,0.54,8,0.47,0.00
M,63,Christie,4.9,4.9,Bournemouth,67,2.94,68,2.60,63,2.00,63,2.10,60,1.90,55,2.01,54,2.06,56,2.16,54,1.99,53,2.05,55,2.19,55,1.81,0.00
M,64,Cook,5.0,5.0,Bournemouth,88,3.00,84,2.53,78,2.05,75,2.05,71,1.83,71,2.02,71,2.10,73,2.19,71,2.01,71,2.14,70,2.20,70,1.88,0.00
F,65,Enes Ünal,5.4,5.4,Bournemouth,27,2.06,27,1.77,31,1.51,32,1.71,34,1.61,34,1.94,35,2.05,34,2.07,35,2.02,35,2.13,34,2.22,35,1.79,0.00
M,66,Faivre,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,67,H.Traorè,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,68,Hill,4.0,4.0,Bournemouth,0,0.00,2,0.05,3,0.05,4,0.10,4,0.07,5,0.14,6,0.17,6,0.17,7,0.17,7,0.21,7,0.23,8,0.18,0.00
F,69,Jebbison,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
D,70,Kerkez,4.5,4.5,Bournemouth,82,3.59,78,2.95,77,1.97,77,1.96,74,1.54,73,2.22,75,2.51,74,2.67,75,2.00,73,2.64,73,2.69,72,1.64,0.00
M,71,Kluivert,5.4,5.4,Bournemouth,53,3.66,54,3.13,54,2.36,52,2.50,51,2.18,49,2.52,50,2.72,47,2.61,48,2.48,49,2.64,49,2.90,48,2.30,0.00
D,72,Mepham,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,73,Neto,4.3,4.3,Arsenal,78,3.63,10,0.48,0,0.00,3,0.14,4,0.16,5,0.18,4,0.20,4,0.17,4,0.15,4,0.17,4,0.19,4,0.18,0.00
M,74,O.Dango,5.0,5.0,Bournemouth,31,1.92,34,1.87,36,1.55,38,1.75,37,1.53,35,1.71,38,1.96,38,1.95,38,1.84,38,1.97,37,2.05,40,1.78,0.00
G,75,Paulsen,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,76,Philip,4.8,4.8,Bournemouth,18,1.06,23,1.19,26,1.09,28,1.22,27,1.06,24,1.11,23,1.12,22,1.09,24,1.15,23,1.13,22,1.18,24,1.04,0.00
M,77,Scott,4.9,4.9,Bournemouth,45,2.03,42,1.73,47,1.63,49,1.73,49,1.61,44,1.69,41,1.63,40,1.60,44,1.66,45,1.77,42,1.79,41,1.47,0.00
M,78,Semenyo,5.7,5.7,Bournemouth,78,4.77,76,3.88,74,2.80,74,3.06,73,2.68,72,3.21,68,3.26,68,3.38,68,3.18,67,3.34,67,3.53,66,2.69,0.03
D,79,Senesi,4.8,4.8,Bournemouth,68,2.81,67,2.34,64,1.57,64,1.58,61,1.22,60,1.73,61,1.97,61,2.13,60,1.53,60,2.09,58,2.06,60,1.29,0.00
M,80,Sinisterra,5.0,5.0,Bournemouth,18,1.21,22,1.31,23,1.11,23,1.20,25,1.14,26,1.38,27,1.47,26,1.42,26,1.41,25,1.43,27,1.62,29,1.37,0.00
D,81,Smith,4.5,4.5,Bournemouth,36,1.46,37,1.32,37,1.00,37,0.98,36,0.83,37,1.13,37,1.21,37,1.31,35,0.97,40,1.41,38,1.37,39,0.94,0.00
F,82,Solanke,7.5,7.5,Spurs,88,4.66,83,4.54,79,5.47,77,4.27,74,4.60,73,5.38,75,2.99,74,4.82,73,4.36,73,4.64,72,4.83,73,3.97,0.28
M,83,Tavernier,5.5,5.5,Bournemouth,79,4.66,76,3.79,74,2.85,74,3.03,73,2.64,72,3.25,72,3.42,72,3.49,71,3.23,71,3.41,70,3.59,70,2.85,0.00
G,84,Travers,4.4,4.4,Bournemouth,1,0.06,2,0.07,3,0.09,3,0.10,4,0.14,5,0.16,4,0.14,4,0.13,4,0.13,3,0.12,3,0.13,4,0.13,0.00
D,85,Zabarnyi,4.5,4.5,Bournemouth,87,3.07,83,2.50,82,1.80,81,1.69,81,1.37,78,1.94,77,2.17,79,2.41,77,1.66,76,2.28,76,2.33,77,1.39,0.00
D,86,Ajer,4.5,4.5,Brentford,64,2.35,65,2.66,60,1.46,56,2.45,56,1.78,55,2.08,54,1.86,55,2.38,53,1.41,53,1.65,54,1.16,54,2.15,0.00
M,87,Brierley,4.5,4.5,Brentford,1,0.09,1,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,88,Collins,4.5,4.5,Brentford,85,2.90,81,3.15,79,1.73,78,3.22,75,2.24,74,2.66,73,2.42,72,2.92,71,1.69,70,2.01,71,1.33,71,2.71,0.00
M,89,Damsgaard,5.0,5.0,Brentford,72,3.15,68,3.00,61,2.26,49,2.43,46,1.85,47,2.20,45,1.95,47,2.22,45,1.75,45,2.00,46,1.76,45,2.06,0.00
M,90,Dasilva,4.9,4.9,Brentford,0,0.00,0,0.00,14,0.58,22,1.14,23,1.04,23,1.14,22,1.04,23,1.18,24,1.04,22,1.04,23,0.97,23,1.10,0.00
G,91,Flekken,4.5,4.5,Brentford,94,3.52,93,3.76,92,3.19,92,3.72,91,3.36,91,3.47,91,3.44,91,3.64,91,3.15,91,3.22,91,3.04,91,3.60,0.28
D,92,Henry,4.4,4.4,Brentford,0,0.00,0,0.00,32,0.81,67,2.97,76,2.42,76,2.92,74,2.58,74,3.20,76,1.92,75,2.29,74,1.51,73,2.89,0.00
D,93,Hickey,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,94,Janelt,4.9,4.9,Brentford,83,2.81,79,2.70,75,2.19,70,2.61,70,2.19,70,2.50,70,2.33,67,2.41,66,2.02,68,2.26,68,1.98,69,2.39,0.00
M,95,Jensen,5.4,5.4,Brentford,0,0.00,0,0.00,28,1.03,58,2.61,68,2.44,68,2.77,67,2.56,66,2.82,66,2.27,64,2.51,64,2.15,63,2.60,0.00
D,96,Ji-soo,4.0,4.0,Brentford,0,0.00,1,0.04,2,0.04,1,0.04,2,0.04,2,0.05,2,0.05,2,0.05,2,0.04,3,0.07,2,0.04,3,0.07,0.00
M,97,Konak,4.5,4.5,Brentford,21,0.87,18,0.74,11,0.46,5,0.25,4,0.18,4,0.21,4,0.21,4,0.21,5,0.23,4,0.20,4,0.20,4,0.21,0.00
M,98,Lewis-Potter,5.0,5.0,Brentford,66,3.40,64,3.28,54,2.32,43,2.67,38,1.94,40,2.38,37,1.98,33,1.91,31,1.48,33,1.81,34,1.57,34,1.86,0.00
M,99,Mbeumo,7.3,7.3,Brentford,90,6.31,88,5.94,85,4.40,82,6.07,81,4.47,80,5.57,78,4.68,75,5.41,77,4.05,75,4.77,77,3.83,78,5.07,0.19
D,100,Mee,4.4,4.4,Brentford,16,0.59,20,0.84,19,0.51,16,0.69,18,0.60,18,0.72,19,0.70,20,0.87,21,0.63,20,0.68,20,0.51,22,0.95,0.00
M,101,Nørgaard,4.9,4.9,Brentford,59,2.00,84,2.81,82,2.27,78,2.83,77,2.35,77,2.73,75,2.40,73,2.61,72,2.12,72,2.38,72,2.00,70,2.43,0.00
M,102,Onyeka,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,103,Peart-Harris,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,104,Pinnock,4.5,4.5,Brentford,90,3.10,87,3.43,84,1.84,82,3.47,82,2.45,81,2.92,81,2.63,82,3.38,80,1.91,79,2.22,78,1.47,77,2.91,0.02
D,105,Roerslev,4.4,4.4,Brentford,60,2.28,57,2.39,52,1.34,49,2.22,47,1.59,46,1.86,47,1.74,45,2.02,48,1.37,48,1.60,48,1.12,48,2.01,0.00
M,106,Schade,5.4,5.4,Brentford,67,3.64,65,3.44,60,2.69,57,3.51,52,2.55,53,3.06,49,2.48,43,2.54,39,1.84,40,2.15,41,1.82,40,2.21,0.00
